5,0,1.000087,1.000087022781372,116550432,932322322.7183418,3749,5715256,47374,30,1500,false
5,10.000387,11.00026,0.9998729825019836,31457280,251690209.06063008,0,1553704,56881,25683,1500,false
5,1.000087,2.000162,1.0000749826431274,120586240,964617590.4234629,0,5745664,47895,151,1500,false
5,11.00026,12.0002,0.9999399781227112,39321600,314591682.3833561,0,1581216,74245,27088,1500,false
5,12.0002,13.000277,1.0000770092010498,38010880,304063624.3032241,0,1608728,37483,197,1500,false
5,13.000277,14.002257,1.001979947090149,19660800,156975596.62423944,0,1623208,69490,53117,1500,false
5,14.002257,15.005568,1.003311038017273,43253760,344888142.2493059,0,1650720,47126,6737,1500,false
5,15.005568,16.000392,0.9948239922523499,27525120,221346651.98559386,0,1668096,30247,37,1500,false
5,16.000392,17.000202,0.999809980392456,32768000,262193821.96715066,0,1686920,30267,160,1500,false
5,17.000202,18.000161,0.9999589920043945,55050240,440419980.7406348,0,1730360,30249,65,1500,false
5,18.000161,19.000622,1.0004609823226929,51118080,408756210.61261666,0,1766560,30214,32,1500,false
5,19.000622,20.000771,1.0001490116119385,49807360,398399513.84624624,0,1802760,57558,12512,1500,false
5,20.000771,21.000686,0.9999150037765503,24903680,199246375.18942714,12,918032,91318,79205,1500,false
5,2.000162,3.000195,1.0000330209732056,119275520,954172652.2904153,0,5776072,47965,163,1500,false
5,21.000686,22.001858,1.0011719465255737,19660800,157102284.523493,0,941200,54130,40863,1500,false
5,22.001858,23.000052,0.9981939792633057,20971520,168075708.21436974,0,968712,60520,5157,1500,false
5,23.000052,24.001714,1.001662015914917,20971520,167493782.66755688,0,991880,36429,10634,1500,false
5,24.001714,25.000171,0.9984570145606995,19660800,157529465.67179236,0,1016496,31615,432,1500,false
5,25.000171,26.000049,0.9998779892921448,26214400,209740790.62232995,0,1046904,91816,18108,1500,false
5,26.000049,27.000349,1.0003000497817993,26214400,209652293.8749691,0,1077312,43075,5707,1500,false
5,27.000349,28.000669,1.0003199577331543,27525120,220130527.53541172,0,1104824,102642,6561,1500,false
5,28.000669,29.000218,0.9995489716529846,30146560,241281304.70802817,0,1138128,42262,4144,1500,false
5,29.000218,30.000228,1.0000100135803223,14417920,115342205.01156557,0,1152608,57307,22646,1500,false
5,3.000195,4.00044,1.0002449750900269,119275520,953970461.0004334,0,5805032,48485,187,1500,false
5,4.00044,5.000061,0.9996209740638733,119275520,954565965.2585769,0,5835440,48464,137,1500,false
5,5.000061,6.000203,1.000141978263855,111411200,891163074.2139114,0,5862952,108480,17929,1500,false
5,6.000203,7.000395,1.0001920461654663,36700160,293544905.82644385,2790,1475512,43810,15227,1500,false
5,7.000395,8.024472,1.02407705783844,27525120,215023819.07157153,0,1497232,58576,24382,1500,false
5,8.024472,9.000232,0.9757599830627441,20971520,171939988.22680944,0,1514608,31110,186,1500,false
5,9.000232,10.000387,1.000154972076416,24903680,199198569.78402147,0,1530536,49904,4521,1500,false
